trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.6048487639357234, 'e': 0.05308844442327762}",20,8,22.292656315268115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.6022832529430606, 'e': 0.050845204686183136}",20,5,-21.41306726337838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5997259196937808, 'e': 0.04869675251675513}",35,23,19.53710792227169,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5971767381207622, 'e': 0.04663908268860805}",25,0,40.580649564004446,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5946356822399743, 'e': 0.04466835921525558}",20,4,24.74513143991343,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5921027261502119, 'e': 0.04278090819891846}",20,4,17.751583610334006,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5895778440328323, 'e': 0.0409732109815043}",25,11,13.462563239031216,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5870610101514908, 'e': 0.0392418975849911}",20,0,29.07467454023219,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5845521988518798, 'e': 0.03758374042898588}",25,18,11.412892588395515,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5820513845614663, 'e': 0.03599564831374623}",20,10,17.014579340108224,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.579558541789231, 'e': 0.03447466065744811}",25,13,3.0191717688539623,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.5770736451254102, 'e': 0.03301794197695638}",20,7,25.26714625845587,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5745966692412341, 'e': 0.03162277660180908}",20,14,11.364868960788261,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.572127588888671, 'e': 0.030286563611561127}",35,20,32.78632269228942,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.569666378900169, 'e': 0.029006811987049328}",30,16,23.834614404875985,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
